"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"8421",8421,"Loss",28,10,9,3,19,0.451,0.4651,0.375,0.5714,43,27,15,5,10,11,0.5542,0.6406,0.2632,1,45
"8422",8422,"Win",27,15,5,10,11,0.5542,0.6406,0.2632,1,45,28,10,9,3,19,0.451,0.4651,0.375,0.5714,43
"8423",8423,"Loss",27,20,16,1,21,0.4747,0.5224,0.375,0.7143,49,22,17,13,2,18,0.4592,0.4783,0.4138,0.6522,55
"8424",8424,"Win",22,17,13,2,18,0.4592,0.4783,0.4138,0.6522,55,27,20,16,1,21,0.4747,0.5224,0.375,0.7143,49
"8425",8425,"Win",26,11,9,9,17,0.4651,0.4821,0.4333,0.7619,54,15,13,7,4,16,0.3187,0.3429,0.2381,0.8333,52
"8426",8426,"Loss",15,13,7,4,16,0.3187,0.3429,0.2381,0.8333,52,26,11,9,9,17,0.4651,0.4821,0.4333,0.7619,54
"8427",8427,"Win",15,13,6,5,18,0.5571,0.5806,0.375,0.9444,34,14,13,2,4,16,0.4512,0.5385,0.1176,0.9333,35
"8428",8428,"Loss",14,13,2,4,16,0.4512,0.5385,0.1176,0.9333,35,15,13,6,5,18,0.5571,0.5806,0.375,0.9444,34
"8429",8429,"Win",19,16,11,6,18,0.4211,0.4815,0.2727,0.8621,42,17,17,7,6,21,0.4051,0.5417,0.1935,0.9412,39
"8430",8430,"Loss",17,17,7,6,21,0.4051,0.5417,0.1935,0.9412,39,19,16,11,6,18,0.4211,0.4815,0.2727,0.8621,42
"8431",8431,"Win",16,12,9,3,20,0.5393,0.6,0.4138,0.6842,44,31,13,7,1,18,0.5526,0.5385,0.5833,0.6296,33
"8432",8432,"Loss",31,13,7,1,18,0.5526,0.5385,0.5833,0.6296,33,16,12,9,3,20,0.5393,0.6,0.4138,0.6842,44
